Blend/Single Origin,Country of Origin,Country of Origin Mod,Desc 1,Desc 2,Desc 3,location City,Location Country,Location State,Name,Origin,Review Date,Roast,Roaster,Slug,Acid,Aftertaste,Aroma,Body,Cost 12Oz,Flavor,Latitude,Location Latitude,Location Longitude,Longitude,Origin Latitude,Origin Longitude,Rating,Selected Measure,With Milk
Single Origin,Honduras,Honduras," Sweetly tart, juicy-rich. Pie cherry, dark chocolate, orange zest, maple syrup, hazelnut in aroma and cup. Tart-leaning structure with bold acidity; velvety mouthfeel. The finish consolidates around dark chocolate and orange zest with undertones of hazelnut.","Produced by David Lopez of Finca Los Amigos entirely of the Catuaí variety of Arabica and processed by the natural method (beans are dried in the whole fruit). Modern Times is a well-loved, exuberantly inventive Point Loma, San Diego brewery that has long specialized in coffee-beer crossovers and overlaps. Visit www.moderntimescoffee.com for more information.","An unabashedly tart natural-process Honduras cup: clean, crisp, sweet and chocolaty.Explore Similar CoffeesClick here for more reviews from Modern Times CoffeeClick here for more information about coffees from Honduras ",SanDiego,USA,California,Honduras Los Amigos,"El Soccoro, Honduras",21-Apr,Medium-Light,Modern Times Coffee,https://www.coffeereview.com/review/honduras-los-amigos/,9,8,9,8,16,9,32.7174202,32.7174202,-117.162772,-117.162772,15.4,-87.8,86,86,
Single Origin,Honduras,Honduras,"Savory leaning, complexly sweet. Jackfruit, black sesame, freesia, agave syrup, fresh-cut oak in aroma and cup. Savory-sweet structure with juicy, apple-toned malic acidity; crisp, dry Vermouth-like mouthfeel. Quiet finish with notes of jackfruit and black sesame.","Produced by Roberto Figueroa entirely of the Pacas variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Flower Child Coffee is a specialty roasted based in Oakland, California. Visit www.flowerchildcoffee.com.","A richly nuanced Pacas cup from Honduras, paradoxically both savory yet bright, with undertones of spicy florals.Explore Similar CoffeesClick here for more reviews from Flower Child CoffeeClick here for more information about coffees from Honduras ",Oakland,USA,California,Honduras Roberto Figueroa,"Santa Barbara Department, Honduras",22-Nov,Medium-Light,Flower Child Coffee,https://www.coffeereview.com/review/honduras-roberto-figueroa/,9,8,9,8,34.02,9,37.8044557,37.8044557,-122.271356,-122.271356,14.235869,-88.464264,86,86,
Single Origin,Honduras,Honduras,"Crisply sweet-tart, floral-toned. Narcissus, plum, baking chocolate, almond, brown sugar in aroma and cup. Sweetly tart structure with vibrant acidity; satiny-smooth mouthfeel. The quiet finish centers around suggestions of brown sugar and almond.","Produced by Rudy Garay at Finca Peña Blanca entirely of the Catuai variety of Arabica and processed by the black honey method, in which the skins are removed from the fruit but virtually all of the pulp is allowed to dry on the beans, often resulting in a deep, pungent profile. Merge is a specialty coffee roaster in Harrisonburg, Virginia dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.","A cup paradoxically both delicate and deep, floral-driven with ballast from crisp chocolate notes.Explore Similar CoffeesClick here for more reviews from Merge Coffee CompanyClick here for more information about coffees from Honduras ",Harrisonburg,USA,Virginia,Pena Blanca Black Honey,"Los Planes, Comayagua, Honduras",20-Dec,Medium-Light,Merge Coffee Company,https://www.coffeereview.com/review/pena-blanca-black-honey/,9,8,9,8,17.99,9,38.4493315,38.4493315,-78.8688833,-78.8688833,14.481631,-87.8454122,86,86,
Single Origin,Indonesia,Indonesia,"Fruit-forward, sweetly tart. Dried raspberry, persimmon, baking chocolate, nutmeg, agave syrup in aroma and cup. Sparkling acidity; crisp, satiny mouthfeel. Berry-toned finish with hints of baking chocolate.",Produced by smallholding farmers and processed by the natural method (dried in the whole fruit). Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.,"A natural-processed coffee from Sumatra, where washed and wet-hulled is the most common processing method — fruit-driven and deeply aromatic.Explore Similar CoffeesClick here for more reviews from Magnolia CoffeeClick here for more information about coffees from SumatraVisit Magnolia Coffee ",Charlotte,USA,North Carolina,Sumatra Gayo Lues Natural,"Aceh Province, Sumatra, Indonesia",23-Jul,Medium-Light,Magnolia Coffee,https://www.coffeereview.com/review/sumatra-gayo-lues-natural/,9,8,9,8,23,9,35.2272086,35.2272086,-80.8430827,-80.8430827,-0.0049815,103.424872,86,86,
Single Origin,Kenya,Kenya," Vibrantly sweet-tart, balanced. Lemon drop, red currant, cocoa nib, almond butter, cedar in aroma and cup. Sweetly tart structure with bright, vibrant acidity; crisp, satiny mouthfeel. Finish consolidates to notes of citrusy cocoa and red currant.","Produced by smallholding farmers and processed at the Mahiga Washing Station and by the washed method. Founded by Taylor Fields in 2018, Nostalgia is a third-wave mobile coffee shop that recently began also selling its coffee online. Visit www.nostalgiacoffeeroasters.com for more information.","A solid, classic Kenya cup, cocoa-toned with layers of dark fruit.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from Kenya ",SanDiego,USA,California,Kenya Nyeri,"Nyeri growing region, south-central Kenya",21-Jan,Medium-Light,Nostalgia Coffee Roasters,https://www.coffeereview.com/review/kenya-nyeri-3/,9,8,9,8,21.77,9,32.7174202,32.7174202,-117.162772,-117.162772,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Balanced, sweetly savory. Wisteria, black currant, lime zest, tamarind, cedar in aroma and cup. Sweet-savory structure with bight, juicy acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of tamarind, supported by lime zest and cedar.",Produced by smallholding farmers of the Gathaithi Farmers Cooperative Society and processed at the Gathaithi washing station. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.,"A balanced, floral-toned Kenya cup with distinct notes of black currant, a pleasing savory fruit attribute often associated with classic Kenya coffees.
",SanDiego,USA,California,Kenya Nyeri Gathaithi,"Nyeri growing region, south-central Kenya",22-Jul,Medium-Light,Jaunt Coffee Roasters,https://www.coffeereview.com/review/kenya-nyeri-gathaithi/,9,8,9,8,23,9,32.7174202,32.7174202,-117.162772,-117.162772,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Richly sweet, berry-toned. Blackberry, salted caramel, pink grapefruit zest, lemon balm, oak in aroma and cup. Balanced, bright acidity; crisp, satiny mouthfeel. Finish consolidates to caramel and citrus notes.","Produced by smallholding farmers, from trees of the SL28, SL34, Ruiru and Batian varieties of Arabica, and processed at the Rukira Washing Station by the traditional washed method (fruit pulp and skin removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","A balanced, berry-driven Kenya complicated by appealing umami-rich salted caramel notes.Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from KenyaVisit Jaunt Coffee Roasters ",SanDiego,USA,California,Kenya Nyeri Rukira,"Nyeri County, central Kenya",23-Jul,Medium-Light,Jaunt Coffee Roasters,https://www.coffeereview.com/review/kenya-nyeri-rukira/,9,8,9,8,24,9,32.7174202,32.7174202,-117.162772,-117.162772,-0.42013,36.94759,86,86,
Single Origin,Kenya,Kenya,"Juicy-bright, balanced. Raspberry, cocoa nib, lemon verbena, almond butter, fresh-cut oak in aroma and cup. High-toned, sweetly tart acidity; crisp, satiny mouthfeel. Lemon verbena and cocoa nib predominate in the finish.","Produced by Symon Mariku of Njawato Estate, from trees of the SL28 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Succulent Coffee Roasters is a Southern California specialty roaster and coffee shop founded in 2019. Visit www.succulentcoffeeroasters.com for more information. ","A fruit-forward, cocoa-toned Kenya with especially vibrant acidity.Explore Similar CoffeesClick here for more reviews from Succulent Coffee RoastersClick here for more information about coffees from Kenya ",HuntingtonBeach,USA,California,Kenya Kirinyaga Njawato Estate,"Kirinyaga County, south-central Kenya",23-Nov,Medium-Light,Succulent Coffee Roasters,https://www.coffeereview.com/review/kenya-kirinyaga-njawato-estate/,9,8,9,8,21,9,33.6783336,33.6783336,-118.000016,-118.000016,0.0708569,33.988829,86,86,
Single Origin,Kenya,Kenya,"Brightly sweet, spice-toned. Red currant, nutmeg, brown sugar, orange zest, oak in aroma and cup. Juicy acidity; crisp, satiny mouthfeel. Brown sugar and orange zest lead in the quiet finish.","Produced by smallholding members of the Othaya Cooperative, from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional Kenyan washed method (fruit skin and pulp removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.
","The bottom line: A balanced, juicy, spice-toned Kenya with classic lead notes of currant and bittersweet citrus undertones.
",SanDiego,USA,California,Kenya Nyeri Chinga,"Nyeri growing region, south-central Kenya",23-Sep,Medium-Light,Jaunt Coffee Roasters,https://www.coffeereview.com/review/kenya-nyeri-chinga/,9,8,9,8,23,9,32.7174202,32.7174202,-117.162772,-117.162772,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Richly sweet-savory. Red currant, hop flowers, lychee, toffee, cedar in aroma and cup. Gently bright, balanced acidity; crisp, satiny mouthfeel. Finish leads with notes of toffee and lychee, supported by cedar.","Produced by smallholding members of the Barichu Cooperative Society, from trees of the SL28, SL34, K7 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Drink Coffee Do Stuff operates a roastery in Truckee, California, and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.","A recognizably Kenyan cup with its distinct currant notes — gets ballast from deep, sweet toffee and complicated by bittersweet hop flowers.Explore Similar CoffeesClick here for more reviews from Drink Coffee Do StuffClick here for more information about coffees from Kenya ",Truckee,USA,California,Kenya Gaturiri,"Kiambu County, Kenya",24-May,Medium-Light,Drink Coffee Do Stuff,https://www.coffeereview.com/review/kenya-gaturiri-2/,9,8,9,8,19.95,9,39.327962,39.327962,-120.1832533,-120.1832533,-1.16667,36.83333,86,86,
Single Origin,Kenya,Kenya,"Confident, juicy-bright. Black currant, cocoa nib, freesia, orange zest, fresh-cut cedar in aroma and cup. High-toned structure with phosphoric acidity; medium-weight, viscous mouthfeell. The lively finish leads with notes of black currant and hints of spice-toned florals.","Produced by smallholding farmers from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information.",A classic Kenya cup with vibrant acidity and particularly vivid expressions of the black currant and cocoa notes often associated with this origin.Explore Similar CoffeesClick here for more reviews from Durango Coffee CompanyClick here for more information about coffees from KenyaVisit Durango Coffee Company,Durango,USA,Colorado,Kenya Gaturiri,"Kiambu County, Kenya",23-Feb,Medium-Light,Durango Coffee Company,https://www.coffeereview.com/review/kenya-karinga-aa/,9,8,9,8,19.95,9,37.2395367,37.2395367,-107.8215818,-107.8215818,-1.16667,36.83333,86,86,
Single Origin,Kenya,Kenya,"Brightly sweet, rich-toned. Red currant, agave syrup, lemon verbena, dark chocolate, cedar in aroma and cup. Juicy, lively acidity; crisp, lightly satiny mouthfeel. Sweetly herbaceous finish supported by notes of dark chocolate and cedar.","Produced by smallholding members of the Barichu Cooperative Society, from trees of the SL28, SL34, K7 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit durangocoffee.com or call 800-748-2275 for more information.","A classic Kenya cup that leads with notes of red currant and has undertones of sweet herbs, rich aromatic wood, and distinct dark chocolate.Explore Similar CoffeesClick here for more reviews from Durango Coffee CompanyClick here for more information about coffees from KenyaVisit Durango Coffee Company ",Durango,USA,Colorado,Kenya Gaturiri,"Kiambu County, Kenya",24-Apr,Medium-Light,Durango Coffee Company,https://www.coffeereview.com/review/kenya-gaturiri/,9,8,9,8,19.95,9,37.2769484,37.2769484,-107.8766,-107.8766,-1.16667,36.83333,86,86,
Single Origin,Kenya,Kenya,"Balanced, vibrant, juicy. Black currant, narcissus, toffee, cedar, pink grapefruit zest in aroma and cup. Sweet-toned structure with vivacious, sparkling acidity; crisp, velvety mouthfeel. The finish consolidates to toffee and cedar.","Produced by smallholding members of the Kiama Farmers Cooperative Society from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried) at the Ichuga wet mill. ILSE Coffee is an ingredient-driven roaster currently building a new roastery and café in North Canaan, Connecticut. Visit www.ilsecoffee.com for more information.","A classic Kenya cup: sweet, savory, bright, juicy, expressing equal parts fruit and flowers.Explore Similar CoffeesClick here for more reviews from ILSE Coffee RoastersClick here for more information about coffees from Kenya ",NorthCanaan,USA,Connecticut,Kenya Ichuga AA,"Nyeri County, Kenya",22-Oct,Medium-Light,ILSE Coffee Roasters,https://www.coffeereview.com/review/kenya-ichuga-aa/,9,8,9,8,23.5,9,42.0270143,42.0270143,-73.3295947,-73.3295947,-0.42013,36.94759,86,86,
Single Origin,Kenya,Kenya,"Richly sweet-tart, chocolaty. Tangerine, dark chocolate, almond butter, freesia-like flowers, a hint of marjoram in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel.The finish consolidates to suggestions of chocolate and tangerine.","Produced from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information.","A juicy, rich-toned Kenya with bright citrus notes and dark chocolate throughout.Explore Similar CoffeesClick here for more reviews from Big Shoulders CoffeeClick here for more information about coffees from KenyaVisit Big Shoulders Coffee ",Chicago,USA,Illinois,Kenya Kirinyaga Peaberry,"Kirinyaga County, south-central Kenya",20-Oct,Medium-Light,Big Shoulders Coffee,https://www.coffeereview.com/review/kenya-kirinyaga-peaberry/,9,8,9,8,22,9,41.8755616,41.8755616,-87.6244212,-87.6244212,0.0708569,33.988829,86,86,
Single Origin,Kenya,Kenya,"Vibrant, sweet-savory, floral-toned. Cocoa nib, red currant, myrrh, honeysuckle, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish centers on red currant and hop flowers in the short, cocoa nib and myrrh in the long.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Founded in 1994, Coffee By Design is a specialty coffee roaster in Portland, Maine that also operates three coffee shops in town. Visit www.coffeebydesign.com.","A rich-toned Kenya cup driven by classic red currant notes, both richly sweet and deeply savory.Explore Similar CoffeesClick here for more reviews from Coffee By DesignClick here for more information about coffees from Kenya ",Portland,USA,Maine,Kenya Kiambu Kiriga AA,"Kiambu growing region, south-central Kenya",21-Apr,Medium-Light,Coffee By Design,https://www.coffeereview.com/review/kenya-kiambu-kiriga-aa/,9,8,9,8,13.88,9,43.6573605,43.6573605,-70.2586618,-70.2586618,-1.175305,36.830559,86,86,
Single Origin,Kenya,Kenya,"Crisply sweet-savory. Date, magnolia, tamarind, cedar, brown sugar in aroma and cup. Richly bittersweet structure with lively acidity; crisp, velvety mouthfeel. Sweetly tart finish leads with tamarind notes, supported by suggestions of rich cedar.
","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. Founded in 1994, Coffee By Design is a specialty coffee roaster in Portland, Maine that also operates three coffee shops in town, as well as one in Freeport. Visit www.coffeebydesign.com.
","A savory, richly Kenya cup with appealing floral notes and a bright sweetness supported by deep aromatic wood impulses.
",Portland,USA,Maine,Kenya Kahunyo AA,"Nyeri growing region, south-central Kenya",22-May,Medium-Light,Coffee by Design,https://www.coffeereview.com/review/kenya-kahunyo-aa/,9,8,9,8,16.5,9,43.6573605,43.6573605,-70.2586618,-70.2586618,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Brightly sweet-tart. Meyer lemon, date, Oreo cookie, almond nougat, freesia in aroma and cup. Juicy-bright acidity; crisp, satiny mouthfeel. Sweet-toned finish with notes of date and almond.","Produced by smallholding farmers, from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Speedwell Coffee, based in Plymouth, Massachusetts, is a wholesale and retail specialty roaster particularly dedicated to offering attractive coffee subscription plans. For more information, visit www.speedwellcoffee.com.","A juicy, high-toned Kenya with richly sweet, cookie-like undertones.Explore Similar CoffeesClick here for more reviews from Speedwell CoffeeClick here for more information about coffees from KenyaVisit Speedwell Coffee ",Plymouth,USA,Massachusetts,Kenya Ndaroini AA,"Nyeri growing region, south-central Kenya",24-Feb,Medium-Light,Speedwell Coffee,https://www.coffeereview.com/review/kenya-ndaroini-aa-2/,9,8,9,8,18,9,41.9583799,41.9583799,-70.6673851,-70.6673851,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Richly sweet-tart. Black currant, hazelnut, cocoa nib, freesia, maple syrup, cedar in aroma and cup. Brightly sweet structure with juicy acidity; silky, viscous mouthfeel. Floral-toned finish with cedar undertones.","Produced by smallholding members of the Kagumo Farmers Cooperative Society, and processed by the washed method (fruit skin and pulp removed before drying). Revel Coffee is a micro-roaster located in Billings, Montana. Its motto: “Quality is paramount – a difference you can revel in.” Visit www.revelcoffee.com or call 406-534-9621 for more information.","A classic Kenya cup with particularly inviting, juicy-bright acidity grounded by engaging black currant notes, the hallmark of the origin.Explore Similar CoffeesClick here for more reviews from Revel CoffeeClick here for more information about coffees from KenyaVisit Revel Coffee ",Billings,USA,Montana,Kenya Kagumo AB,"Nyeri growing region, south-central Kenya",23-Jun,Medium-Light,Revel Coffee,https://www.coffeereview.com/review/kenya-kagumo-ab/,9,8,9,8,24.25,9,45.7874957,45.7874957,-108.49607,-108.49607,-0.440083,36.964036,86,86,
Single Origin,Kenya,Kenya,"Richly sweet-savory, subtly complex. Bing cherry, cocoa nib, Meyer lemon zest, fresh-cut fir, Nutella in aroma and cup. Balanced, sweetly savory structure with juicy-bright acidity; crisp, velvety mouthfeel. The finish consolidates to notes of crisp citrus and sweet Nutella notes.
","Produced by smallholding farmers surrounding the Karatina Coffee Factory from trees of the Ruiru 11, SL28 and Batian varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Now based in Henderson, Nevada, Dragonfly Coffee was named 2019 Micro-Roaster of the Year by Roast magazine. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.
","A balanced, appealing Kenya cup: deep-toned, richly savory, and thoroughly chocolaty.
",Henderson,USA,Nevada,Kenya Kamgogo Small Lot Reserve,"Nyeri County, Kenya",22-May,Medium-Light,Dragonfly Coffee Roasters,https://www.coffeereview.com/review/kenya-kamgogo-small-lot-reserve/,9,8,9,8,20,9,36.0301134,36.0301134,-114.9826194,-114.9826194,-0.42013,36.94759,86,86,
Single Origin,Kenya,Kenya,"Complex, richly bittersweet. Cocoa nib, goji berry, myrrh, cashew butter, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish leads with goji berry and hop flowers in the short, rounding to cashew butter in the long.","Produced by smallholding farmers from trees of the SL28, Ruiru 11, Batian and Ruiru varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried) at the Karindudu Washing Station. Founded in 2005 in Richmond, Virginia, Blanchard’s Coffee’s tagline is ""good work in service of great coffee."" Visit www.blanchardscoffee.com for more information.",A multi-layered Kenya cup centered around red fruit and savory-leaning florals. Nuanced and engaging.Explore Similar CoffeesClick here for more reviews from Blanchard's CoffeeClick here for more information about coffees from Kenya,Richmond,USA,Virginia,Kenya Karindundu AB,"Nyeri County, Kenya",22-Oct,Medium-Light,Blanchard's Coffee,https://www.coffeereview.com/review/kenya-karindundu-ab/,9,8,9,8,18.05,9,37.5385087,37.5385087,-77.43428,-77.43428,-0.42013,36.94759,86,86,
Single Origin,Mexico,Mexico,"Balanced, crisply sweet-tart. Baking chocolate, red plum, almond, Meyer lemon zest, cedar in aroma and cup. Invitingly bright acidity; crisp, satiny mouthfeel. Finish consolidates to notes of apricot and almond.","Produced by Alba Flores, entirely of the Typica Pluma variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information.","A pleasing washed Mexico cup that exhibits classic notes of stone fruit, citrus and a crisp chocolate throughline.Explore Similar CoffeesClick here for more reviews from Utopian CoffeeClick here for more information about coffees from MexicoVisit Utopian Coffee ",FortWayne,USA,Indiana,Mexico Alba Flores,"Oaxaca, Mexico",24-Jan,Medium-Light,Utopian Coffee,https://www.coffeereview.com/review/mexico-alba-flores/,9,8,9,8,21,9,41.0799898,41.0799898,-85.1386015,-85.1386015,17.0604663,-96.7253575,86,86,
Single Origin,Mexico,Mexico,"High-toned, sweetly tart. Raspberry, hazelnut, freesia-like flowers, agave syrup, cedar in aroma and cup. Sweet-tart structure with juicy-bright acidity; full, velvety-smooth mouthfeel. The floral-toned finish is deepened by notes of hazelnut and cedar.",Produced by smallholding farmers from trees of the Bourbon and Typica varieties of Arabica and processed by the washed method (fruit skin and flesh are removed before beans are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,"A lovely Mexico cup from the Oaxaca region: rich and vibrant, with spice-toned florals and notes of berry and sweet hazelnut.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from MexicoVisit JBC Coffee Roasters ",Madison,USA,Wisconsin,Monte Alban Mexico,"Yautepec/Miahuatlan, Oaxaca State, Mexico",21-Mar,Medium-Light,JBC Coffee Roasters,https://www.coffeereview.com/review/monte-alban-mexico/,9,8,9,8,20,9,43.074761,43.074761,-89.3837613,-89.3837613,16.32973975,-96.59225816,86,86,
Single Origin,Mexico,Mexico,"Vibrantly sweet-tart. Dried cranberry, hazelnut, lilac, honey, grapefruit zest in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The finish leads with notes of cranberry and hazelnut.",Produced by smallholding farmers from trees of the Bourbon and Typica varieties of Arabica and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,"A brightly sweet Oaxaca cup, chocolaty, tart and floral-toned.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from MexicoVisit JBC Coffee Roasters ",Madison,USA,Wisconsin,Monte Alban Mexico,"Yautepec, Miahuatlán, Oaxaca State, Mexico",22-Apr,Medium-Light,JBC Coffee Roasters,https://www.coffeereview.com/review/monte-alban-mexico-2/,9,8,9,8,20,9,43.074761,43.074761,-89.3837613,-89.3837613,,,86,86,
Single Origin,Nicaragua,Nicaragua,"Crisply sweet, cocoa-toned. Cocoa nib, red plum, maple syrup, fresh-cut oak, lemon-thyme in aroma and cup. Sweet structure with bright, juicy acidity; smooth, satiny mouthfeel. Finish consolidates to notes of maple syrup and cocoa nib.","Produced by Sabino and Maria Jesus of Finca La Fuente from trees of the Red Catuaí, Caturra and Caturra Estrella varieties of Arabica, and processed by the washed method. Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting and online sales of select fine coffees. Visit www.nostalgiacoffeeroasters.com for more information.","An impressively balanced, bright Nicaragua cup with sweet herb undertones.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from Nicaragua ",SanDiego,USA,California,Nicaragua Sabino Maria,"Jinotega Department, Nicaragua",22-Mar,Medium-Light,Nostalgia Coffee Roasters,https://www.coffeereview.com/review/nicaragua-sabino-maria/,9,8,9,8,21,9,32.7174202,32.7174202,-117.162772,-117.162772,13.0919052,-86.0019232,86,86,
Single Origin,Nicaragua,Nicaragua,"Deeply lactic-sweet, rich-toned. Bubblegum, rhododendron, cocoa nib, fresh leather, grape candy in aroma and cup. Richly bittersweet structure with tangy, lactic acidity; delicate, lightly syrupy mouthfeel. The sweet, long finish consolidates to notes of bubblegum and cocoa nib with undertones of rhododendron.","Produced at La Bastilla Coffee Estate and processed by the anaerobic natural method, in which the whole fruit is fermented in a hermetically sealed vessel before drying. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com. ",A uniquely composed anaerobic Nicaragua cup with a decidedly lactic tang and candy notes layered with more traditional floral and earth tones.Explore Similar CoffeesClick here for more reviews from RamsHead Coffee RoastersClick here for more information about coffees from NicaraguaVisit RamsHead Coffee Roasters,Bozeman,USA,Montana,Nicaragua La Bastilla Estate Anaerobic,"Jinotega, Nicaragua",22-Aug,Medium-Light,RamsHead Coffee Roasters,https://www.coffeereview.com/review/nicaragua-la-bastilla-estate-anaerobic/,9,8,9,8,17.5,9,45.6794293,45.6794293,-111.044047,-111.044047,13.0910392,-86.0023584,86,86,
Single Origin,Nicaragua,Nicaragua,"High-toned, richly sweet-tart-savory. Raspberry jam, dark chocolate, pie cherry, almond, cedar in aroma and cup. Sweet-toned with tart-savory acidity; crisp, satiny mouthfeel. Deeply chocolaty and fruit-toned in the finish.","Produced by Don Roger and Isabel Mairena of Gold Mountain Coffee Farms from trees of the Bourbon, Caturra, Java and Pache varieties of Arabica, and processed by the carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee in the whole fruit. Joe Bean Roasters is a specialty retail and wholesale coffee roaster based in Rochester, New York. Visit www.joebeanroasters.com for more information.
",A complex sweet-tart-savory cup processed by carbonic maceration — chocolaty and fruit-forward.Explore Similar CoffeesClick here for more reviews from Joe Bean RoastersClick here for more information about coffees from NicaraguaVisit Joe Bean Roasters,Rochester,USA,New York,Nicaragua Don Roger Fruit Symphony Natural & Maceration,"Jinotega Department, Nicaragua",23-Nov,Medium-Light,Joe Bean Roasters,https://www.coffeereview.com/review/nicaragua-don-roger-fruit-symphony-natural-maceration/,9,8,9,8,20,9,43.157285,43.157285,-77.615214,-77.615214,13.0919052,-86.0019232,86,86,
Single Origin,Panama,Panama,"Balanced, deeply sweet. Dark chocolate, honeysuckle, date, orange zest, cedar in aroma and cup. Sweet-toned with bright, vibrant acidity; crisp, velvety mouthfeel. Chocolaty finish with undertones of orange zest.
","Produced at Finca Santa Teresa and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information. ","A floral-toned, chocolaty, and very affordable Panama cup with particularly vibrant acidity.Explore Similar CoffeesClick here for more reviews from Jackrabbit JavaClick here for more information about coffees from PanamaVisit Jackrabbit Java ",Thermopolis,USA,Wyoming,Panama Finca Santa Teresa,"Chiriquí Province, Panama",22-Jun,Medium-Light,Jackrabbit Java,https://www.coffeereview.com/review/panama-finca-santa-teresa/,9,8,9,8,14,9,43.646067,43.646067,-108.212043,-108.212043,8.589134,-82.545615,86,86,
